gene_id,symbol,HPctrl1,HPctrl2,HPctrl3,HPctrl4,HP1hr1,HP1hr2,HP1hr3,HP1hr4,HP4hr1,HP4hr2,HP4hr3,HP4hr4
ENSMUSG00000004885,Crabp2,20.38298278,56.79580809,35.13486119,66.67941042,86.33878201,66.91593231,58.51644515,88.73128683,44.41109718,21.51559854,85.70358286,43.48294884
ENSMUSG00000004880,Lbr,1447.191778,1640.560883,1646.653828,1767.984956,1646.323593,1871.338659,1644.087046,1772.114474,1675.593687,1721.247883,1797.63265,1627.265739
ENSMUSG00000004872,Pax3,NA,1.862157642,NA,3.92231826,3.924490091,2.307445942,2.250632506,NA,NA,4.303119708,NA,NA
ENSMUSG00000004865,Srpk1,2906.428045,2894.724055,3166.822155,2890.748558,2685.332345,2807.007988,2784.03241,2635.988889,3156.888824,2927.197181,3304.944414,2691.761775
ENSMUSG00000004864,Mapk13,32.42747261,46.55394106,21.08091672,46.08723955,58.86735137,34.61168913,51.76454763,40.18020536,70.31757053,30.12183795,42.85179143,53.51747549
ENSMUSG00000004849,Ap1s1,3212.172787,3735.48823,3300.334628,3965.463761,3263.213511,2486.273002,2928.07289,3655.5616,3398.374165,2334.442442,3498.84877,4325.717199
ENSMUSG00000004846,Plod3,3569.801485,4403.071745,3980.779773,4633.238444,3895.056416,2923.534008,3456.971529,4255.753417,4035.858456,2914.287822,4430.875234,3985.379503
ENSMUSG00000004843,Chmp2b,2448.737432,2465.496718,2656.195506,2898.593194,2649.030812,3556.927919,3171.141201,2775.78252,2796.973891,3835.15544,2789.651622,3068.056525
ENSMUSG00000004837,Grap,35.20697026,23.27697053,22.25207876,23.53390956,43.16939101,27.6893513,29.25822258,25.11262835,21.2803174,31.19761788,21.42589571,28.43115886
ENSMUSG00000004815,Dgkq,967.2651831,1072.602802,1004.85703,951.162178,810.4072039,710.69335,865.3681985,938.3752126,965.0161324,730.4545704,1048.797595,1030.211403
ENSMUSG00000004798,Ulk2,5326.444001,4849.989579,5539.596448,4707.762491,4966.442211,6046.66209,5478.039519,4357.878106,5290.471951,6538.590396,5059.725273,5090.013646
ENSMUSG00000004791,Pgf,88.94392488,101.4875915,62.07158811,101.9802748,107.9234775,54.22497963,106.905044,114.6810028,95.2988127,66.69835547,145.6960909,142.1557943
ENSMUSG00000004789,Dlst,5870.299042,6345.302166,6571.390205,6243.35009,6526.427022,6646.598035,6391.796317,6139.200543,6827.28096,6565.484894,6735.230318,6524.114747
ENSMUSG00000004788,Eif2b2,2701.671718,2781.132439,2438.359367,2676.001633,2432.202734,1749.044024,1882.654091,2569.858968,2307.526591,1652.397968,2248.647755,2690.089354
ENSMUSG00000004771,Rab11a,2331.072031,2234.589171,2423.13426,2457.33239,2701.030305,3488.858264,3045.10578,2442.621651,2653.563056,3925.520953,2356.848529,3088.125578
ENSMUSG00000004768,Rab23,3374.31015,3437.543008,3757.087823,3305.533714,3295.590554,3795.748574,3446.843683,2816.799813,4120.979726,4489.229635,3535.272793,3646.714228
ENSMUSG00000004748,Mtfp1,144.5338779,142.4550596,163.9626856,107.8637521,86.33878201,74.99199311,97.902514,91.24254966,114.7286677,90.36551386,124.2701951,129.612636
ENSMUSG00000004730,Adgre1,1241.508951,726.2414805,1058.730484,1037.45318,1096.894981,1331.396308,1240.098511,1093.236421,899.3247179,957.444135,430.6605039,938.2282422
ENSMUSG00000004709,Cd244a,18.52998435,13.0351035,7.026972238,5.88347739,13.73571532,25.38190536,2.250632506,11.71922656,6.476618339,17.21247883,14.998127,10.03452665
ENSMUSG00000004707,Ly9,140.8278811,102.4186703,110.0892317,98.0579565,117.7347027,163.8286619,124.9101041,123.0518789,107.3268182,103.274873,57.84991843,90.31073989
ENSMUSG00000004698,Hdac9,653.1819483,595.8904455,730.8051128,751.1239468,793.728121,937.9767753,837.2352922,645.3945485,707.8018613,897.2004591,719.910096,632.1751793
ENSMUSG00000004677,Myo9b,7845.595374,7775.439235,7169.854007,8188.819947,6977.743383,5662.472341,6377.167205,8508.158484,7114.102629,5176.653009,8090.418222,6931.349287
ENSMUSG00000004668,Abca13,29.64797496,33.51883756,35.13486119,27.45622782,31.39592073,63.4547634,59.6417614,39.34311774,60.14002743,84.98661423,49.27956014,25.92252719
ENSMUSG00000004667,Polr2e,1474.986754,1626.5947,1308.187998,1610.111646,1243.082236,693.3875055,959.8947637,1381.194559,1192.623005,842.3356828,1222.347351,1690.817741
ENSMUSG00000004665,Cnn2,2686.847731,4558.561908,4048.707171,5789.341752,8329.730219,6816.195312,7868.21124,8343.252225,5084.145396,4182.632356,8573.57217,5083.323961
ENSMUSG00000004661,Arid3b,81.53193114,116.3848526,65.58507423,81.38810389,160.9040938,158.060047,146.2911129,179.9738365,110.1025118,90.36551386,129.6266691,81.11242379
ENSMUSG00000004655,Aqp1,129.7098904,191.8022372,144.0529309,240.2419934,221.7336902,214.5924726,191.303763,195.8785011,160.0649961,118.335792,128.5553743,175.6042165
ENSMUSG00000004654,Ghrhr,NA,NA,NA,NA,1.962245046,NA,NA,NA,0.925231191,2.151559854,12.85553743,1.672421109
ENSMUSG00000004642,Slbp,2230.083617,2472.01427,2372.774293,2829.952625,2885.48134,3479.62848,3057.484259,2758.20368,2406.526328,3327.387314,2591.462087,2842.279675
ENSMUSG00000004637,Wwox,1406.425812,1441.310015,1372.601911,1221.802138,1123.385289,982.9719712,1172.579536,1238.052578,1299.949824,1255.435175,1101.29104,1294.453938
ENSMUSG00000004633,Chn2,136.195385,116.3848526,96.03528726,100.9996952,127.545928,111.9111282,140.6645316,96.26507533,97.14927508,90.36551386,145.6960909,107.034951
ENSMUSG00000004631,Sgce,2182.832156,2288.591742,2706.555474,2283.769807,2647.068567,3070.056825,2921.320993,2502.054871,2540.684851,2828.225428,2635.385173,2638.2443
ENSMUSG00000004630,Pcp2,3.70599687,13.96618232,5.855810199,3.92231826,3.924490091,4.614891883,19.1303763,10.04505134,1.850462382,7.530459489,4.285179143,13.37936887
ENSMUSG00000004626,Stxbp2,1588.019659,1578.178602,1406.56561,1379.675448,1469.721539,1129.494788,1277.233947,1602.185689,1344.360921,1027.36983,1353.045314,1279.402148
ENSMUSG00000004610,Etfb,71.34043975,69.83091158,44.50415751,92.17447911,54.94286128,36.91913507,34.88480384,57.7590452,42.5606348,30.12183795,49.27956014,83.62105546
ENSMUSG00000004609,Cd33,85.23792801,57.72688691,64.41391219,94.13563824,83.39541444,155.7526011,88.89998398,73.66370982,72.16803291,134.4724909,56.77862364,85.29347657
ENSMUSG00000004591,Pkn2,4145.157499,4238.270794,4845.097358,4457.714702,5030.215175,7000.790987,6060.953338,4309.327024,4892.622539,7269.044966,5165.783457,4851.693638
ENSMUSG00000004568,Arhgef18,5525.641333,5756.860351,5026.627475,5870.729855,4625.992695,3988.42031,4334.718206,5195.802805,4654.838123,3762.002405,5189.351942,5058.237645
ENSMUSG00000004567,Mcoln1,1620.447131,1835.156356,1693.500309,1626.781498,1705.190945,1662.514801,1749.866773,1591.30355,1733.883252,1766.43064,1830.842789,1602.179423
ENSMUSG00000004565,Pnpla6,3377.089648,3589.308855,3034.480845,2835.836102,2550.918559,2054.780611,2053.702162,3072.111534,2689.647073,2347.351801,2731.801704,2651.623669
